171	HasSpaceForItem	40	22318	DONO_GRATUITO
939	HasSpaceForItem	40	62980	DONO_GRATUITO
183	HasSpaceForItem	44	7551	DONO_GRATUITO
108	HasSpaceForItem	44	14562	DONO_GRATUITO
61	HasSpaceForItem	44	40405	DONO_GRATUITO
833	HasSpaceForItem	44	56847	DONO_GRATUITO
172	HasSpaceForItem	48	19307	DONO_GRATUITO
239	HasSpaceForItem	58	8346	DONO_GRATUITO
800	HasSpaceForItem	84	49504	DONO_GRATUITO
929	HasSpaceForItem	85	42284	DONO_GRATUITO
881	HasSpaceForItem	117	19635	DONO_GRATUITO
875	HasSpaceForItem	119	61575	DONO_GRATUITO
873	HasSpaceForItem	135	373	DONO_GRATUITO
161	HasSpaceForItem	143	41842	DONO_GRATUITO
250	HasSpaceForItem	146	30872	DONO_GRATUITO
222	HasSpaceForItem	154	35990	DONO_GRATUITO
932	HasSpaceForItem	167	61103	DONO_GRATUITO
896	HasSpaceForItem	188	38688	DONO_GRATUITO
232	HasSpaceForItem	200	53597	DONO_GRATUITO
233	HasSpaceForItem	214	45132	DONO_GRATUITO
869	HasSpaceForItem	219	25473	DONO_GRATUITO
216	HasSpaceForItem	238	3387	DONO_GRATUITO
32	HasSpaceForItem	266	15973	DONO_GRATUITO
224	HasSpaceForItem	269	9447	DONO_GRATUITO
837	HasSpaceForItem	275	50845	DONO_GRATUITO
940	HasSpaceForItem	280	12358	DONO_GRATUITO
31	HasSpaceForItem	282	47618	DONO_GRATUITO
241	HasSpaceForItem	288	37304	DONO_GRATUITO
233	HasSpaceForItem	291	30454	DONO_GRATUITO
760	HasSpaceForItem	295	11435	DONO_GRATUITO
741	HasSpaceForItem	298	26684	DONO_GRATUITO
850	HasSpaceForItem	313	23628	DONO_GRATUITO
786	HasSpaceForItem	335	504	DONO_GRATUITO
157	HasSpaceForItem	337	5089	DONO_GRATUITO
233	HasSpaceForItem	343	18312	DONO_GRATUITO
782	HasSpaceForItem	350	26487	DONO_GRATUITO
941	HasSpaceForItem	354	19736	DONO_GRATUITO
932	HasSpaceForItem	357	61103	DONO_GRATUITO
752	HasSpaceForItem	374	3225	DONO_GRATUITO
230	HasSpaceForItem	379	57579	DONO_GRATUITO
111	HasSpaceForItem	380	52460	DONO_GRATUITO
246	HasSpaceForItem	399	46619	DONO_GRATUITO
30	HasSpaceForItem	400	45698	DONO_GRATUITO
938	HasSpaceForItem	411	57215	DONO_GRATUITO
25	HasSpaceForItem	436	39657	DONO_GRATUITO
874	HasSpaceForItem	442	10573	DONO_GRATUITO
743	HasSpaceForItem	442	11109	DONO_GRATUITO
943	HasSpaceForItem	455	58650	DONO_GRATUITO
829	HasSpaceForItem	456	27001	DONO_GRATUITO
256	HasSpaceForItem	489	33753	DONO_GRATUITO
928	HasSpaceForItem	497	41655	DONO_GRATUITO
869	HasSpaceForItem	497	50292	DONO_GRATUITO
877	HasSpaceForItem	514	41445	DONO_GRATUITO
886	HasSpaceForItem	522	30638	DONO_GRATUITO
922	HasSpaceForItem	534	15399	DONO_GRATUITO
237	HasSpaceForItem	546	28325	DONO_GRATUITO
859	HasSpaceForItem	573	41445	DONO_GRATUITO
240	HasSpaceForItem	574	9893	OGGETTO_NASCOSTO
896	HasSpaceForItem	583	12989	DONO_GRATUITO
928	HasSpaceForItem	586	37450	DONO_GRATUITO
225	HasSpaceForItem	620	57853	DONO_GRATUITO
962	HasSpaceForItem	664	9973	DONO_GRATUITO
913	HasSpaceForItem	667	51050	DONO_GRATUITO
230	HasSpaceForItem	689	31051	DONO_GRATUITO
151	HasSpaceForItem	706	56196	DONO_GRATUITO
886	HasSpaceForItem	712	6275	DONO_GRATUITO
10	HasSpaceForItem	736	9893	DONO_GRATUITO
92	HasSpaceForItem	827	63064	DONO_GRATUITO
243	HasSpaceForItem	831	33331	DONO_GRATUITO
896	HasSpaceForItem	849	38690	DONO_GRATUITO
760	HasSpaceForItem	853	6384	DONO_GRATUITO
778	HasSpaceForItem	866	39227	DONO_GRATUITO
240	GiveItem	873	54932	OGGETTO_NASCOSTO
232	HasSpaceForItem	902	22564	DONO_GRATUITO
230	HasSpaceForItem	926	54341	DONO_GRATUITO
776	HasSpaceForItem	941	43081	DONO_GRATUITO
151	HasSpaceForItem	1040	6817	DONO_GRATUITO
145	HasSpaceForItem	1048	26645	OGGETTO_NASCOSTO
15	HasSpaceForItem	1067	30955	DONO_GRATUITO
809	HasSpaceForItem	1072	53837	DONO_GRATUITO
913	HasSpaceForItem	1078	62942	DONO_GRATUITO
30	HasSpaceForItem	1079	28007	DONO_GRATUITO
145	GiveItem	1092	10117	OGGETTO_NASCOSTO
217	HasSpaceForItem	1106	41819	DONO_GRATUITO
938	HasSpaceForItem	1114	24808	DONO_GRATUITO
843	HasSpaceForItem	1155	53956	DONO_GRATUITO
919	HasSpaceForItem	1202	15672	DONO_GRATUITO
896	HasSpaceForItem	1224	16128	DONO_GRATUITO
111	HasSpaceForItem	1288	52460	DONO_GRATUITO
237	HasSpaceForItem	1378	36706	DONO_GRATUITO
938	HasSpaceForItem	1433	9893	OGGETTO_NASCOSTO
232	HasSpaceForItem	1505	33982	DONO_GRATUITO
202	HasSpaceForItem	1574	37538	DONO_GRATUITO
938	GiveItem	1705	23797	OGGETTO_NASCOSTO
232	HasSpaceForItem	1854	18828	DONO_GRATUITO
938	GiveItem	1856	43940	OGGETTO_NASCOSTO
122	HasSpaceForItem	1961	47181	DONO_GRATUITO
812	HasSpaceForItem	2095	46539	DONO_GRATUITO
29	HasSpaceForItem	2902	9954	DONO_GRATUITO
123	HasSpaceForItem	3096	53511	DONO_GRATUITO
123	HasSpaceForItem	3270	17859	DONO_GRATUITO
146	HasSpaceForItem	3343	24495	DONO_GRATUITO
953	HasSpaceForItem	3440	31731	DONO_GRATUITO
843	HasSpaceForItem	4370	52079	DONO_GRATUITO
843	HasSpaceForItem	4439	41693	DONO_GRATUITO
843	HasSpaceForItem	5525	1549	DONO_GRATUITO
843	HasSpaceForItem	5613	1549	DONO_GRATUITO
141	HasSpaceForItem	6150	9893	RACCOLTA_A_TERRA
141	GiveItem	6200	61597	RACCOLTA_A_TERRA
92	HasSpaceForItem	8694	9949	DONO_GRATUITO
